"Cibao Nordeste","Duarte","Arenoso","Arenoso","Arenoso"
"Cibao Nordeste","Duarte","Arenoso","Arenoso","Palma Sola"
"Cibao Nordeste","Duarte","Arenoso","Los Platanitos","Los Platanitos"
"Cibao Nordeste","Duarte","Arenoso","Las Coles","Las Coles"
"Cibao Nordeste","Duarte","Arenoso","Las Carreras","Las Carreras"
"Cibao Nordeste","Duarte","Arenoso","Las Carreras","Las Guamas"
"Cibao Nordeste","Duarte","Arenoso","Las Carreras","Los Cacaos"
"Cibao Nordeste","Duarte","Arenoso","Las Carreras","Villa María"
"Cibao Nordeste","Duarte","Arenoso","La Jagua","Caño de Madrid (Madera)"
"Cibao Nordeste","Duarte","Arenoso","La Jagua","El Guayabo"
"Cibao Nordeste","Duarte","Arenoso","La Jagua","El Mango o El Mago"
"Cibao Nordeste","Duarte","Arenoso","La Jagua","La Jagua"
"Cibao Nordeste","Duarte","Arenoso","La Jagua","Rincón Bebedero"
"Cibao Nordeste","Duarte","Arenoso","La Garza","Cruce de las Cabirmas (Antigua Atronca Perros)"
"Cibao Nordeste","Duarte","Arenoso","La Garza","El Cachimbo (San Andrés)"
"Cibao Nordeste","Duarte","Arenoso","La Garza","El Jobo"
"Cibao Nordeste","Duarte","Arenoso","La Garza","El Mango"
"Cibao Nordeste","Duarte","Arenoso","La Garza","La Cebolla"
"Cibao Nordeste","Duarte","Arenoso","La Garza","La Garza"
"Cibao Nordeste","Duarte","Arenoso","La Garza","La Playa"
"Cibao Nordeste","Duarte","Arenoso","La Garza","La Raya o El Mango"
"Cibao Nordeste","Duarte","Arenoso","La Garza","Morro Sucio"
"Cibao Nordeste","Duarte","Arenoso","El Aguacate","El Aguacate"
"Cibao Nordeste","Duarte","Arenoso","El Aguacate","Caño Abajo"
"Cibao Nordeste","Duarte","Arenoso","El Aguacate","El Aguacate"
"Cibao Nordeste","Duarte","Arenoso","El Aguacate","Las Matas"
"Cibao Nordeste","Duarte","Arenoso","Yabacoa","El Firme"
"Cibao Nordeste","Duarte","Arenoso","Yabacoa","La Manga"
"Cibao Nordeste","Duarte","Arenoso","Yabacoa","Rabo de Chivo"
"Cibao Nordeste","Duarte","Arenoso","Yabacoa","Yabacoa"
"Cibao Nordeste","Duarte","Arenoso","Ciénaga Vieja","Ciénaga Vieja"
"Cibao Nordeste","Duarte","Arenoso","Ciénaga Vieja","Cuba"
"Cibao Nordeste","Duarte","Arenoso","Ciénaga Vieja","Los Chichones"
"Cibao Nordeste","Duarte","Arenoso","Ciénaga Vieja","Sabaneta"
"Cibao Nordeste","Duarte","Arenoso","Los Haitiles","La Mina"
"Cibao Nordeste","Duarte","Arenoso","Los Haitiles","Los Haitiles"
"Cibao Nordeste","Duarte","Arenoso","Los Haitiles","Pescadero"
"Cibao Nordeste","Duarte","Castillo","Castillo","Centro del Pueblo"
"Cibao Nordeste","Duarte","Castillo","Castillo","La Mora o Nigua Abajo"
"Cibao Nordeste","Duarte","Castillo","Castillo","Puerto Rico"
"Cibao Nordeste","Duarte","Castillo","Jina Clara","Cuesta Blanca"
"Cibao Nordeste","Duarte","Castillo","Jina Clara","El Firme de los Cafeses"
